# seed  cv_score  training_mse  validation_mse  training_time(s)
6.847000000000000000e+03 2.610602489716975061e+00 2.525103451898154550e+00 3.177337960531019245e+00 4.268152713775634766e-01
2.375000000000000000e+03 2.621251246436457016e+00 2.544506116896553483e+00 3.176479349879554270e+00 1.055257797241210938e+00
6.738000000000000000e+03 2.624938451984411003e+00 2.571104222510793846e+00 3.197916326120839869e+00 1.659433364868164062e+00
8.907000000000000000e+03 2.635025316286493169e+00 2.578849020558321214e+00 3.177324694115003734e+00 7.366435527801513672e-01
3.704000000000000000e+03 2.636067606173426725e+00 2.595327509374941943e+00 3.221793477042867782e+00 2.085256099700927734e+00
2.447000000000000000e+03 2.639225165800890949e+00 2.534815235331774996e+00 2.869766554034177908e+00 8.392529487609863281e-01
5.332000000000000000e+03 2.640369672002518708e+00 2.576025499638413319e+00 3.154973852152259006e+00 1.543641090393066406e+00
2.090000000000000000e+03 2.642415866612680908e+00 2.535964178599829033e+00 2.891236385562139688e+00 2.485793352127075195e+00
5.949000000000000000e+03 2.648834092136134633e+00 2.570596577602457522e+00 3.162765606571297461e+00 1.127537250518798828e+00
8.967000000000000000e+03 2.652085878717493461e+00 2.574119967655372765e+00 3.178894230782347563e+00 1.244257688522338867e+00
1.990000000000000000e+03 2.654722544975640197e+00 2.561415201020755816e+00 3.055991233980771327e+00 1.872636556625366211e+00
8.118000000000000000e+03 2.657492560147058480e+00 2.582654609426949577e+00 3.185405815870292923e+00 6.460688114166259766e-01
5.338000000000000000e+03 2.657522501509316015e+00 2.571854634423226482e+00 3.022081761976064929e+00 1.561075687408447266e+00
5.762000000000000000e+03 2.659614281654115509e+00 2.590635133773219856e+00 3.157678350921090171e+00 1.154783487319946289e+00
1.552000000000000000e+03 2.664843374258436537e+00 2.567414675623225229e+00 2.970339668713465109e+00 7.430965900421142578e-01
1.786000000000000000e+03 2.672470026033376911e+00 2.580652567978980905e+00 3.007881194226080357e+00 6.344306468963623047e-01
2.551000000000000000e+03 2.676921885260415301e+00 2.617492407390633158e+00 3.206666809632444881e+00 1.278576374053955078e+00
7.326000000000000000e+03 2.680985232654547801e+00 2.606826701401077528e+00 3.099441590728457818e+00 6.575827598571777344e-01
5.696000000000000000e+03 2.682635342995519867e+00 2.615235648225074261e+00 3.207376013302984497e+00 8.464000225067138672e-01
8.381000000000000000e+03 2.687291352040565684e+00 2.594911225615630368e+00 2.980817023231713492e+00 9.370391368865966797e-01
6.705000000000000000e+03 2.689714438692096365e+00 2.615937799203572389e+00 3.251267973436882563e+00 1.652123212814331055e+00
7.255000000000000000e+03 2.690752529040084884e+00 2.611023204969026956e+00 2.966573497806553217e+00 1.272574424743652344e+00
8.660000000000000000e+03 2.691432280613917261e+00 2.578607109857635304e+00 3.063597667405202341e+00 1.466432809829711914e+00
8.545000000000000000e+03 2.691817307104262813e+00 2.638646091682907535e+00 3.246557522831745146e+00 1.568773746490478516e+00
2.624000000000000000e+03 2.706054649494922693e+00 2.662836409399645721e+00 3.057884299097735070e+00 5.411996841430664062e-01
3.239000000000000000e+03 2.707230661010927353e+00 2.635461497582600732e+00 3.209199603060441053e+00 1.858324050903320312e+00
5.000000000000000000e+00 2.708193738066053236e+00 2.645490594880220758e+00 3.304777624894681409e+00 1.175043106079101562e+00
5.318000000000000000e+03 2.709793237719825942e+00 2.644251501827383333e+00 3.268219257600614824e+00 9.272382259368896484e-01
8.240000000000000000e+02 2.710618889989440561e+00 2.615786210029513725e+00 3.079920187545062582e+00 1.254190206527709961e+00
2.199000000000000000e+03 2.712965393682447157e+00 2.656633341070069321e+00 3.170924614291856791e+00 2.186755180358886719e+00
7.028000000000000000e+03 2.720818779975969548e+00 2.665861834202635894e+00 3.257124401817803605e+00 4.208331108093261719e-01
2.366000000000000000e+03 2.724674690394714105e+00 2.666797440779019368e+00 3.235448425600222944e+00 1.027968168258666992e+00
9.383000000000000000e+03 2.727063961037138995e+00 2.625328551835959701e+00 3.078802710834080081e+00 1.771014928817749023e+00
2.946000000000000000e+03 2.728113039673779383e+00 2.663050222231706954e+00 3.259894440011103622e+00 1.571018695831298828e+00
5.744000000000000000e+03 2.729459248747286626e+00 2.679518396456789464e+00 3.316996942084051270e+00 2.282809019088745117e+00
7.550000000000000000e+03 2.730095877543459615e+00 2.675172148065313227e+00 3.301693825624624434e+00 8.493998050689697266e-01
1.660000000000000000e+02 2.731658877184230949e+00 2.682457520806427187e+00 3.292959488992141193e+00 6.311056613922119141e-01
3.540000000000000000e+03 2.733344522282433076e+00 2.661465611808760734e+00 2.991170345031640476e+00 5.211894512176513672e-01
1.208000000000000000e+03 2.735256979565985347e+00 2.680389528758151396e+00 3.043135931652686477e+00 6.478836536407470703e-01
6.808000000000000000e+03 2.736161193318181084e+00 2.648216821415375843e+00 3.117676092992401671e+00 1.657686471939086914e+00
4.535000000000000000e+03 2.741511104699647206e+00 2.693064931030609621e+00 3.357473620267604097e+00 4.357845783233642578e-01
8.434000000000000000e+03 2.743628836218032330e+00 2.667564523018279843e+00 3.249114211804186692e+00 1.372540712356567383e+00
9.586000000000000000e+03 2.745384702253236942e+00 2.660935492307225037e+00 3.256826826989303036e+00 7.545614242553710938e-01
8.275000000000000000e+03 2.751941842157779483e+00 2.690570310130867782e+00 3.300061732464495190e+00 1.654118061065673828e+00
6.880000000000000000e+03 2.753577536276152760e+00 2.668749450751622287e+00 3.213964084348960082e+00 1.683579683303833008e+00
4.620000000000000000e+02 2.757251889319003002e+00 2.664838201468560541e+00 3.252367360303227706e+00 9.496176242828369141e-01
4.117000000000000000e+03 2.766366516232505290e+00 2.679060203652107841e+00 3.181881572856379847e+00 2.182783365249633789e+00
5.701000000000000000e+03 2.767687071623724737e+00 2.653314940857987470e+00 3.086188584479079289e+00 9.576134681701660156e-01
