,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
3052,2018-2019,Albemarle County,Albemarle High,3.0,M,N,N,Y,26,92.3076923076923,7.6923076923076925
3053,2018-2019,Albemarle County,Monticello High,3.0,M,N,N,Y,4,100.0,0.0
3056,2018-2019,Albemarle County,Albemarle High,4.0,M,N,N,Y,7,85.71428571428571,14.285714285714286
3060,2018-2019,Albemarle County,Albemarle High,5.0,M,N,N,Y,14,100.0,0.0
3061,2018-2019,Albemarle County,Monticello High,5.0,M,N,N,Y,13,100.0,0.0
3062,2018-2019,Albemarle County,Murray High,5.0,M,N,N,Y,1,100.0,0.0
3063,2018-2019,Albemarle County,Western Albemarle High,5.0,M,N,N,Y,11,100.0,0.0
3080,2018-2019,Albemarle County,Albemarle High,3.0,F,Y,N,Y,4,75.0,25.0
3081,2018-2019,Albemarle County,Monticello High,3.0,F,Y,N,Y,3,100.0,0.0
3084,2018-2019,Albemarle County,Albemarle High,4.0,F,Y,N,Y,1,100.0,0.0
3088,2018-2019,Albemarle County,Albemarle High,5.0,F,Y,N,Y,1,100.0,0.0
3089,2018-2019,Albemarle County,Monticello High,5.0,F,Y,N,Y,2,50.0,50.0
3091,2018-2019,Albemarle County,Western Albemarle High,5.0,F,Y,N,Y,3,100.0,0.0
3108,2018-2019,Albemarle County,Albemarle High,3.0,M,Y,N,Y,8,100.0,0.0
3109,2018-2019,Albemarle County,Monticello High,3.0,M,Y,N,Y,1,100.0,0.0
3116,2018-2019,Albemarle County,Albemarle High,5.0,M,Y,N,Y,3,33.333333333333336,66.66666666666667
3117,2018-2019,Albemarle County,Monticello High,5.0,M,Y,N,Y,12,91.66666666666667,0.0
3118,2018-2019,Albemarle County,Murray High,5.0,M,Y,N,Y,1,100.0,0.0
3119,2018-2019,Albemarle County,Western Albemarle High,5.0,M,Y,N,Y,4,100.0,0.0
