,SCHOOL_YEAR,DIV_NAME,SCH_NAME,GENDER,FEDERAL_RACE_CODE,DISABILITY_FLAG,DISADVANTAGED_FLAG,LEP_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
3625,2010-2011,Albemarle County,Western Albemarle High,M,5.0,Y,N,N,14,100.0,0.0
3627,2010-2011,Albemarle County,Western Albemarle High,M,5.0,Y,Y,N,1,100.0,0.0
1346,2010-2011,Alexandria City,T.C. Williams High,F,2.0,N,N,N,4,100.0,0.0
1348,2010-2011,Alexandria City,T.C. Williams High,F,2.0,N,Y,N,7,85.71428571428571,14.285714285714286
1349,2010-2011,Alexandria City,T.C. Williams High,F,2.0,N,Y,Y,7,100.0,0.0
1354,2010-2011,Alexandria City,T.C. Williams High,F,3.0,N,N,N,43,88.37209302325581,11.627906976744185
1356,2010-2011,Alexandria City,T.C. Williams High,F,3.0,N,Y,N,82,84.14634146341463,7.317073170731708
1357,2010-2011,Alexandria City,T.C. Williams High,F,3.0,N,Y,Y,23,91.30434782608695,8.695652173913043
1358,2010-2011,Alexandria City,T.C. Williams High,F,3.0,Y,N,N,5,60.0,20.0
1359,2010-2011,Alexandria City,T.C. Williams High,F,3.0,Y,N,Y,1,100.0,0.0
1360,2010-2011,Alexandria City,T.C. Williams High,F,3.0,Y,Y,N,16,87.5,12.5
1361,2010-2011,Alexandria City,T.C. Williams High,F,3.0,Y,Y,Y,1,100.0,0.0
1362,2010-2011,Alexandria City,T.C. Williams High,F,4.0,N,N,N,15,80.0,13.333333333333334
1363,2010-2011,Alexandria City,T.C. Williams High,F,4.0,N,N,Y,3,66.66666666666667,0.0
1364,2010-2011,Alexandria City,T.C. Williams High,F,4.0,N,Y,N,57,73.6842105263158,17.54385964912281
1365,2010-2011,Alexandria City,T.C. Williams High,F,4.0,N,Y,Y,22,59.09090909090909,36.36363636363637
1366,2010-2011,Alexandria City,T.C. Williams High,F,4.0,Y,N,N,2,50.0,50.0
1368,2010-2011,Alexandria City,T.C. Williams High,F,4.0,Y,Y,N,13,92.3076923076923,7.6923076923076925
1369,2010-2011,Alexandria City,T.C. Williams High,F,4.0,Y,Y,Y,2,50.0,50.0
1370,2010-2011,Alexandria City,T.C. Williams High,F,5.0,N,N,N,61,90.1639344262295,9.836065573770492
1371,2010-2011,Alexandria City,T.C. Williams High,F,5.0,N,N,Y,1,100.0,0.0
1372,2010-2011,Alexandria City,T.C. Williams High,F,5.0,N,Y,N,10,90.0,0.0
1373,2010-2011,Alexandria City,T.C. Williams High,F,5.0,N,Y,Y,2,100.0,0.0
1374,2010-2011,Alexandria City,T.C. Williams High,F,5.0,Y,N,N,4,75.0,25.0
1376,2010-2011,Alexandria City,T.C. Williams High,F,5.0,Y,Y,N,1,100.0,0.0
1386,2010-2011,Alexandria City,T.C. Williams High,F,99.0,N,N,N,10,90.0,10.0
1388,2010-2011,Alexandria City,T.C. Williams High,F,99.0,N,Y,N,1,100.0,0.0
1389,2010-2011,Alexandria City,T.C. Williams High,F,99.0,N,Y,Y,2,100.0,0.0
1390,2010-2011,Alexandria City,T.C. Williams High,F,99.0,Y,N,N,2,100.0,0.0
1410,2010-2011,Alexandria City,T.C. Williams High,M,2.0,N,N,N,10,100.0,0.0
1411,2010-2011,Alexandria City,T.C. Williams High,M,2.0,N,N,Y,2,100.0,0.0
1412,2010-2011,Alexandria City,T.C. Williams High,M,2.0,N,Y,N,8,75.0,12.5
1413,2010-2011,Alexandria City,T.C. Williams High,M,2.0,N,Y,Y,8,87.5,12.5
1418,2010-2011,Alexandria City,T.C. Williams High,M,3.0,N,N,N,40,77.5,15.0
1419,2010-2011,Alexandria City,T.C. Williams High,M,3.0,N,N,Y,2,50.0,50.0
1420,2010-2011,Alexandria City,T.C. Williams High,M,3.0,N,Y,N,63,76.19047619047619,14.285714285714286
1421,2010-2011,Alexandria City,T.C. Williams High,M,3.0,N,Y,Y,8,75.0,12.5
1422,2010-2011,Alexandria City,T.C. Williams High,M,3.0,Y,N,N,15,73.33333333333333,20.0
1424,2010-2011,Alexandria City,T.C. Williams High,M,3.0,Y,Y,N,41,63.41463414634146,29.26829268292683
1425,2010-2011,Alexandria City,T.C. Williams High,M,3.0,Y,Y,Y,1,100.0,0.0
1426,2010-2011,Alexandria City,T.C. Williams High,M,4.0,N,N,N,23,43.47826086956522,39.130434782608695
1427,2010-2011,Alexandria City,T.C. Williams High,M,4.0,N,N,Y,5,40.0,40.0
1428,2010-2011,Alexandria City,T.C. Williams High,M,4.0,N,Y,N,33,75.75757575757575,15.151515151515152
1429,2010-2011,Alexandria City,T.C. Williams High,M,4.0,N,Y,Y,32,53.125,34.375
1430,2010-2011,Alexandria City,T.C. Williams High,M,4.0,Y,N,N,5,60.0,40.0
1432,2010-2011,Alexandria City,T.C. Williams High,M,4.0,Y,Y,N,12,91.66666666666667,8.333333333333334
1433,2010-2011,Alexandria City,T.C. Williams High,M,4.0,Y,Y,Y,2,50.0,50.0
1434,2010-2011,Alexandria City,T.C. Williams High,M,5.0,N,N,N,68,89.70588235294117,10.294117647058824
1435,2010-2011,Alexandria City,T.C. Williams High,M,5.0,N,N,Y,1,100.0,0.0
1436,2010-2011,Alexandria City,T.C. Williams High,M,5.0,N,Y,N,4,100.0,0.0
1437,2010-2011,Alexandria City,T.C. Williams High,M,5.0,N,Y,Y,3,100.0,0.0
1438,2010-2011,Alexandria City,T.C. Williams High,M,5.0,Y,N,N,15,86.66666666666667,13.333333333333334
1440,2010-2011,Alexandria City,T.C. Williams High,M,5.0,Y,Y,N,2,100.0,0.0
1450,2010-2011,Alexandria City,T.C. Williams High,M,99.0,N,N,N,5,100.0,0.0
1452,2010-2011,Alexandria City,T.C. Williams High,M,99.0,N,Y,N,2,100.0,0.0
1453,2010-2011,Alexandria City,T.C. Williams High,M,99.0,N,Y,Y,2,100.0,0.0
1454,2010-2011,Alexandria City,T.C. Williams High,M,99.0,Y,N,N,2,100.0,0.0
1456,2010-2011,Alexandria City,T.C. Williams High,M,99.0,Y,Y,N,1,100.0,0.0
1354,2010-2011,Alleghany County,Alleghany High,F,3.0,N,N,N,1,100.0,0.0
1356,2010-2011,Alleghany County,Alleghany High,F,3.0,N,Y,N,3,100.0,0.0
1370,2010-2011,Alleghany County,Alleghany High,F,5.0,N,N,N,51,100.0,0.0
1372,2010-2011,Alleghany County,Alleghany High,F,5.0,N,Y,N,27,88.88888888888889,7.407407407407407
1374,2010-2011,Alleghany County,Alleghany High,F,5.0,Y,N,N,5,40.0,60.0
1376,2010-2011,Alleghany County,Alleghany High,F,5.0,Y,Y,N,7,100.0,0.0
1418,2010-2011,Alleghany County,Alleghany High,M,3.0,N,N,N,2,100.0,0.0
1420,2010-2011,Alleghany County,Alleghany High,M,3.0,N,Y,N,11,90.9090909090909,9.090909090909092
1421,2010-2011,Alleghany County,Alleghany High,M,3.0,N,Y,Y,1,100.0,0.0
1422,2010-2011,Alleghany County,Alleghany High,M,3.0,Y,N,N,1,0.0,100.0
1434,2010-2011,Alleghany County,Alleghany High,M,5.0,N,N,N,56,92.85714285714286,3.5714285714285716
1436,2010-2011,Alleghany County,Alleghany High,M,5.0,N,Y,N,24,100.0,0.0
1438,2010-2011,Alleghany County,Alleghany High,M,5.0,Y,N,N,10,80.0,20.0
1440,2010-2011,Alleghany County,Alleghany High,M,5.0,Y,Y,N,8,87.5,12.5
1370,2010-2011,Amelia County,Amelia County High,F,5.0,N,N,N,33,93.93939393939394,6.0606060606060606
1372,2010-2011,Amelia County,Amelia County High,F,5.0,N,Y,N,5,80.0,0.0
1376,2010-2011,Amelia County,Amelia County High,F,5.0,Y,Y,N,2,100.0,0.0
1434,2010-2011,Amelia County,Amelia County High,M,5.0,N,N,N,26,76.92307692307692,7.6923076923076925
1436,2010-2011,Amelia County,Amelia County High,M,5.0,N,Y,N,10,80.0,20.0
1438,2010-2011,Amelia County,Amelia County High,M,5.0,Y,N,N,4,100.0,0.0
1440,2010-2011,Amelia County,Amelia County High,M,5.0,Y,Y,N,4,100.0,0.0
1354,2010-2011,Amherst County,Amherst County High,F,3.0,N,N,N,18,94.44444444444444,0.0
1356,2010-2011,Amherst County,Amherst County High,F,3.0,N,Y,N,21,90.47619047619048,9.523809523809524
1358,2010-2011,Amherst County,Amherst County High,F,3.0,Y,N,N,1,100.0,0.0
1360,2010-2011,Amherst County,Amherst County High,F,3.0,Y,Y,N,3,100.0,0.0
1370,2010-2011,Amherst County,Amherst County High,F,5.0,N,N,N,99,91.91919191919192,1.0101010101010102
1372,2010-2011,Amherst County,Amherst County High,F,5.0,N,Y,N,28,89.28571428571429,7.142857142857143
1374,2010-2011,Amherst County,Amherst County High,F,5.0,Y,N,N,3,66.66666666666667,0.0
1376,2010-2011,Amherst County,Amherst County High,F,5.0,Y,Y,N,5,80.0,0.0
1418,2010-2011,Amherst County,Amherst County High,M,3.0,N,N,N,29,82.75862068965517,13.793103448275861
1420,2010-2011,Amherst County,Amherst County High,M,3.0,N,Y,N,20,75.0,10.0
1422,2010-2011,Amherst County,Amherst County High,M,3.0,Y,N,N,2,50.0,50.0
1424,2010-2011,Amherst County,Amherst County High,M,3.0,Y,Y,N,6,100.0,0.0
1434,2010-2011,Amherst County,Amherst County High,M,5.0,N,N,N,91,92.3076923076923,2.197802197802198
1436,2010-2011,Amherst County,Amherst County High,M,5.0,N,Y,N,35,65.71428571428571,8.571428571428571
1438,2010-2011,Amherst County,Amherst County High,M,5.0,Y,N,N,9,88.88888888888889,11.11111111111111
1440,2010-2011,Amherst County,Amherst County High,M,5.0,Y,Y,N,7,85.71428571428571,14.285714285714286
1354,2010-2011,Appomattox County,Appomattox County High,F,3.0,N,N,N,10,100.0,0.0
1356,2010-2011,Appomattox County,Appomattox County High,F,3.0,N,Y,N,17,82.3529411764706,0.0
1360,2010-2011,Appomattox County,Appomattox County High,F,3.0,Y,Y,N,2,50.0,50.0
1370,2010-2011,Appomattox County,Appomattox County High,F,5.0,N,N,N,33,81.81818181818181,9.090909090909092
1372,2010-2011,Appomattox County,Appomattox County High,F,5.0,N,Y,N,17,94.11764705882354,0.0
1374,2010-2011,Appomattox County,Appomattox County High,F,5.0,Y,N,N,2,100.0,0.0
1376,2010-2011,Appomattox County,Appomattox County High,F,5.0,Y,Y,N,3,100.0,0.0
1418,2010-2011,Appomattox County,Appomattox County High,M,3.0,N,N,N,12,66.66666666666667,33.333333333333336
1420,2010-2011,Appomattox County,Appomattox County High,M,3.0,N,Y,N,13,53.84615384615385,38.46153846153846
1422,2010-2011,Appomattox County,Appomattox County High,M,3.0,Y,N,N,2,50.0,0.0
1434,2010-2011,Appomattox County,Appomattox County High,M,5.0,N,N,N,55,81.81818181818181,9.090909090909092
1436,2010-2011,Appomattox County,Appomattox County High,M,5.0,N,Y,N,16,100.0,0.0
